7D_INCIDENCE_100T,7D_INCREMENT,CASES,Date,INCREMENT,VG
725.0,241.0,870,2021-04-10,4.0,Konz
719.0,239.0,866,2021-04-09,11.0,Konz
695.0,231.0,855,2021-04-08,48.0,Konz
556.0,185.0,807,2021-03-19,167.0,Konz
60.0,20.0,640,2021-01-07,5.0,Konz
60.0,20.0,635,2021-01-06,2.0,Konz
96.0,32.0,633,2021-01-05,4.0,Konz
138.0,46.0,629,2021-01-04,2.0,Konz
132.0,44.0,627,2021-01-03,3.0,Konz
129.0,43.0,624,2021-01-02,2.0,Konz
141.0,47.0,622,2021-01-01,2.0,Konz
195.0,65.0,620,2020-12-31,5.0,Konz
210.0,70.0,615,2020-12-30,14.0,Konz
198.0,66.0,601,2020-12-29,18.0,Konz
156.0,52.0,583,2020-12-28,0.0,Konz
228.0,76.0,583,2020-12-27,2.0,Konz
376.0,125.0,581,2020-12-26,6.0,Konz
376.0,125.0,575,2020-12-24,20.0,Konz
403.0,134.0,555,2020-12-23,10.0,Konz
439.0,146.0,545,2020-12-22,10.0,Konz
427.0,142.0,535,2020-12-21,4.0,Konz
436.0,145.0,531,2020-12-20,24.0,Konz
379.0,126.0,507,2020-12-19,51.0,Konz
261.0,87.0,456,2020-12-18,6.0,Konz
276.0,92.0,450,2020-12-17,29.0,Konz
210.0,70.0,421,2020-12-16,22.0,Konz
177.0,59.0,399,2020-12-15,6.0,Konz
195.0,65.0,393,2020-12-14,7.0,Konz
180.0,60.0,386,2020-12-13,5.0,Konz
189.0,63.0,381,2020-12-12,12.0,Konz
183.0,61.0,369,2020-12-11,11.0,Konz
159.0,53.0,358,2020-12-10,7.0,Konz
174.0,58.0,351,2020-12-09,11.0,Konz
153.0,51.0,340,2020-12-08,12.0,Konz
162.0,54.0,328,2020-12-06,2.0,Konz
204.0,68.0,326,2020-12-05,8.0,Konz
186.0,62.0,318,2020-12-03,10.0,Konz
159.0,53.0,308,2020-12-02,3.0,Konz
246.0,82.0,305,2020-12-01,12.0,Konz
216.0,72.0,293,2020-11-30,4.0,Konz
237.0,79.0,289,2020-11-29,15.0,Konz
198.0,66.0,274,2020-11-26,16.0,Konz
156.0,52.0,258,2020-11-24,2.0,Konz
180.0,60.0,256,2020-11-23,1.0,Konz
252.0,84.0,255,2020-11-22,32.0,Konz
210.0,70.0,223,2020-11-17,2.0,Konz
216.0,72.0,221,2020-11-16,11.0,Konz
249.0,83.0,210,2020-11-13,2.0,Konz
252.0,84.0,208,2020-11-12,2.0,Konz
316.0,105.0,206,2020-11-11,10.0,Konz
310.0,103.0,196,2020-11-09,25.0,Konz
252.0,84.0,171,2020-11-04,18.0,Konz
204.0,68.0,153,2020-11-03,4.0,Konz
198.0,66.0,149,2020-11-02,22.0,Konz
141.0,47.0,127,2020-10-30,3.0,Konz
135.0,45.0,124,2020-10-29,23.0,Konz
66.0,22.0,101,2020-10-26,8.0,Konz
42.0,14.0,93,2020-10-23,6.0,Konz
24.0,8.0,87,2020-10-22,2.0,Konz
24.0,8.0,85,2020-10-21,2.0,Konz
18.0,6.0,83,2020-10-20,3.0,Konz
9.0,3.0,80,2020-10-19,1.0,Konz
9.0,3.0,79,2020-10-16,0.0,Konz
12.0,4.0,79,2020-10-15,0.0,Konz
12.0,4.0,79,2020-10-14,0.0,Konz
18.0,6.0,79,2020-10-12,2.0,Konz
18.0,6.0,77,2020-10-09,0.0,Konz
18.0,6.0,77,2020-10-08,0.0,Konz
18.0,6.0,77,2020-10-07,1.0,Konz
15.0,5.0,76,2020-10-06,1.0,Konz
15.0,5.0,75,2020-10-05,0.0,Konz
15.0,5.0,75,2020-10-01,2.0,Konz
9.0,3.0,73,2020-09-30,2.0,Konz
3.0,1.0,71,2020-09-29,0.0,Konz
3.0,1.0,71,2020-09-28,0.0,Konz
3.0,1.0,71,2020-09-27,0.0,Konz
6.0,2.0,71,2020-09-25,1.0,Konz
3.0,1.0,70,2020-09-24,0.0,Konz
3.0,1.0,70,2020-09-23,0.0,Konz
6.0,2.0,70,2020-09-22,0.0,Konz
15.0,5.0,70,2020-09-21,0.0,Konz
15.0,5.0,70,2020-09-18,0.0,Konz
27.0,9.0,70,2020-09-17,1.0,Konz
24.0,8.0,69,2020-09-16,0.0,Konz
24.0,8.0,69,2020-09-15,0.0,Konz
24.0,8.0,69,2020-09-14,1.0,Konz
24.0,8.0,68,2020-09-11,3.0,Konz
18.0,6.0,65,2020-09-08,0.0,Konz
21.0,7.0,65,2020-09-08,4.0,Konz
9.0,3.0,61,2020-08-28,0.0,Konz
9.0,3.0,61,2020-08-27,0.0,Konz
9.0,3.0,61,2020-08-26,0.0,Konz
12.0,4.0,61,2020-08-24,1.0,Konz
9.0,3.0,60,2020-08-21,1.0,Konz
6.0,2.0,59,2020-08-20,1.0,Konz
3.0,1.0,58,2020-08-19,0.0,Konz
3.0,1.0,58,2020-08-18,0.0,Konz
3.0,1.0,58,2020-08-13,0.0,Konz
6.0,2.0,58,2020-08-12,1.0,Konz
3.0,1.0,57,2020-08-10,0.0,Konz
9.0,3.0,57,2020-08-06,0.0,Konz
9.0,3.0,57,2020-08-05,0.0,Konz
18.0,6.0,57,2020-08-04,0.0,Konz
30.0,10.0,57,2020-08-03,0.0,Konz
33.0,11.0,57,2020-07-31,1.0,Konz
33.0,11.0,56,2020-07-30,0.0,Konz
36.0,12.0,56,2020-07-29,2.0,Konz
30.0,10.0,54,2020-07-17,0.0,Konz
30.0,10.0,54,2020-07-16,3.0,Konz
21.0,7.0,51,2020-07-15,4.0,Konz
9.0,3.0,47,2020-07-12,1.0,Konz
6.0,2.0,46,2020-07-10,1.0,Konz
3.0,1.0,45,2020-07-09,1.0,Konz
-1173.0,-390.0,44,2020-07-07,0.0,Konz
3.0,1.0,44,2020-07-06,0.0,Konz
3.0,1.0,44,2020-07-02,0.0,Konz
3.0,1.0,44,2020-06-30,0.0,Konz
3.0,1.0,44,2020-06-29,0.0,Konz
3.0,1.0,44,2020-06-26,0.0,Konz
9.0,3.0,44,2020-06-25,-390.0,Konz
0.0,,434,2020-06-24,391.0,Konz
0.0,,43,2020-06-22,0.0,Konz
0.0,,43,2020-06-19,0.0,Konz
0.0,,43,2020-06-18,0.0,Konz
0.0,,43,2020-06-15,0.0,Konz
0.0,,43,2020-06-12,2.0,Konz
0.0,,41,2020-06-01,,Konz
970.0,330.0,946,2021-04-10,4.0,Saarburg-Kell
967.0,329.0,942,2021-04-09,9.0,Saarburg-Kell
940.0,320.0,933,2021-04-08,105.0,Saarburg-Kell
637.0,217.0,828,2021-03-19,189.0,Saarburg-Kell
97.0,33.0,639,2021-01-07,8.0,Saarburg-Kell
105.0,36.0,631,2021-01-06,7.0,Saarburg-Kell
108.0,37.0,624,2021-01-05,8.0,Saarburg-Kell
123.0,42.0,616,2021-01-04,3.0,Saarburg-Kell
117.0,40.0,613,2021-01-03,0.0,Saarburg-Kell
144.0,49.0,613,2021-01-02,2.0,Saarburg-Kell
179.0,61.0,611,2021-01-01,5.0,Saarburg-Kell
208.0,71.0,606,2020-12-31,11.0,Saarburg-Kell
211.0,72.0,595,2020-12-30,8.0,Saarburg-Kell
238.0,81.0,587,2020-12-29,13.0,Saarburg-Kell
211.0,72.0,574,2020-12-28,1.0,Saarburg-Kell
208.0,71.0,573,2020-12-27,9.0,Saarburg-Kell
246.0,84.0,564,2020-12-26,14.0,Saarburg-Kell
267.0,91.0,550,2020-12-24,15.0,Saarburg-Kell
264.0,90.0,535,2020-12-23,12.0,Saarburg-Kell
258.0,88.0,523,2020-12-22,17.0,Saarburg-Kell
232.0,79.0,506,2020-12-21,4.0,Saarburg-Kell
238.0,81.0,502,2020-12-20,0.0,Saarburg-Kell
249.0,85.0,502,2020-12-19,22.0,Saarburg-Kell
194.0,66.0,480,2020-12-18,21.0,Saarburg-Kell
158.0,54.0,459,2020-12-17,14.0,Saarburg-Kell
141.0,48.0,445,2020-12-16,10.0,Saarburg-Kell
135.0,46.0,435,2020-12-15,8.0,Saarburg-Kell
129.0,44.0,427,2020-12-14,6.0,Saarburg-Kell
123.0,42.0,421,2020-12-13,4.0,Saarburg-Kell
138.0,47.0,417,2020-12-12,3.0,Saarburg-Kell
158.0,54.0,414,2020-12-11,9.0,Saarburg-Kell
176.0,60.0,405,2020-12-10,8.0,Saarburg-Kell
176.0,60.0,397,2020-12-09,8.0,Saarburg-Kell
164.0,56.0,389,2020-12-08,6.0,Saarburg-Kell
214.0,73.0,383,2020-12-06,4.0,Saarburg-Kell
232.0,79.0,379,2020-12-05,9.0,Saarburg-Kell
208.0,71.0,370,2020-12-03,10.0,Saarburg-Kell
241.0,82.0,360,2020-12-02,15.0,Saarburg-Kell
205.0,70.0,345,2020-12-01,8.0,Saarburg-Kell
196.0,67.0,337,2020-11-30,4.0,Saarburg-Kell
199.0,68.0,333,2020-11-29,23.0,Saarburg-Kell
149.0,51.0,310,2020-11-26,10.0,Saarburg-Kell
138.0,47.0,300,2020-11-24,1.0,Saarburg-Kell
223.0,76.0,299,2020-11-22,21.0,Saarburg-Kell
202.0,69.0,278,2020-11-17,3.0,Saarburg-Kell
199.0,68.0,275,2020-11-16,5.0,Saarburg-Kell
205.0,70.0,270,2020-11-13,5.0,Saarburg-Kell
229.0,78.0,265,2020-11-12,6.0,Saarburg-Kell
241.0,82.0,259,2020-11-11,6.0,Saarburg-Kell
308.0,105.0,253,2020-11-09,30.0,Saarburg-Kell
244.0,83.0,223,2020-11-04,14.0,Saarburg-Kell
208.0,71.0,209,2020-11-03,2.0,Saarburg-Kell
244.0,83.0,207,2020-11-02,7.0,Saarburg-Kell
229.0,78.0,200,2020-11-01,13.0,Saarburg-Kell
211.0,72.0,187,2020-10-30,10.0,Saarburg-Kell
